inqcode,cell_no,cell_desc,seltype,lower_class,upper_class,lower_size,upper_size,prn_start,no_reqd
687,5811,Admin,U,45111,45190,0,9,0.000000000,0
687,5812,Admin,U,45111,45190,10,49,0.000000000,0
687,5813,Sample,P,45111,45190,50,99,0.129110904,4
687,5814,Census,C,45111,45190,100,999999999,0.000000000,0
687,5821,Admin,U,45200,45200,0,9,0.000000000,0
687,5822,Admin,U,45200,45200,10,49,0.000000000,0
687,5823,Sample,P,45200,45200,50,99,0.773236462,1
687,5824,Census,C,45200,45200,100,999999999,0.000000000,0
687,5831,Admin,U,45310,45400,0,9,0.000000000,0
687,5832,Sample,P,45310,45400,10,49,0.282150417,4
687,5833,Sample,P,45310,45400,50,99,0.044537315,5
687,5834,Census,C,45310,45400,100,999999999,0.000000000,0
687,5841,Sample,P,46110,46190,0,9,0.049367336,3
687,5842,Sample,P,46110,46190,10,49,0.049716546,10
687,5843,Sample,P,46110,46190,50,99,0.812942132,12
687,5844,Census,C,46110,46190,100,999999999,0.000000000,0
687,5851,Admin,U,46210,46240,0,9,0.000000000,0
687,5852,Admin,U,46210,46240,10,49,0.000000000,0
687,5853,Admin,U,46210,46240,50,99,0.000000000,0
687,5854,Census,C,46210,46240,100,999999999,0.000000000,0
687,5861,Admin,U,46310,46390,0,9,0.000000000,0
687,5862,Admin,U,46310,46390,10,49,0.000000000,0
687,5863,Sample,P,46310,46390,50,99,0.217368730,3
687,5864,Census,C,46310,46390,100,999999999,0.000000000,0
687,5871,Admin,U,46410,46499,0,9,0.000000000,0
687,5872,Admin,U,46410,46499,10,49,0.000000000,0
687,5873,Sample,P,46410,46499,50,99,0.158557708,4